cameraid,vehicleregistration,speed,speedlimit,locationlatitude,locationlongitude,time
Camera 29,M67,20,70,51.2337321428303,0.203791193699911,2017-08-30T16:31:02.8626920Z
Camera 45,A43,20,50,51.4964912206909,0.129299561418881,2017-08-30T16:31:02.8706895Z
Camera 20,B51,20,40,51.3172513248692,-0.0620099612516122,2017-08-30T16:31:02.8526897Z
Camera 36,Y92,0,20,51.680859282378,0.0148869331698217,2017-08-30T16:31:02.8656895Z
Camera 10,T27,3,60,51.3036396021554,-0.333704405472958,2017-08-30T16:31:04.8627281Z
Camera 32,Z34,22,40,51.5128882949506,0.280805414414067,2017-08-30T16:31:02.8636905Z
Camera 49,P95,5,30,51.4660728652435,-0.38382768819702,2017-08-30T16:31:02.8727007Z
Camera 35,Z70,2,70,51.4130804902811,-0.179536756784336,2017-08-30T16:31:05.8747278Z
Camera 8,A45,20,40,51.4364856461993,0.266487556052279,2017-08-30T16:31:02.8486903Z
Camera 9,X12,16,50,51.4243959437404,-0.0286479029013365,2017-08-30T16:31:02.8486903Z
Camera 11,A54,20,70,51.6479995269784,-0.489912629779328,2017-08-30T16:31:02.8496897Z
Camera 3,X64,32,50,51.6511492193817,0.175783756163873,2017-08-30T16:31:02.8456889Z
Camera 23,C43,6,70,51.2884340682226,0.0107327492375126,2017-08-30T16:31:02.8546897Z
Camera 24,R27,9,20,51.5465129639504,-0.1937376746493,2017-08-30T16:31:02.8546897Z
Camera 19,M91,10,30,51.2199598143911,0.130932753972192,2017-08-30T16:31:02.8526897Z
Camera 28,Y85,3,60,51.2310339972853,-0.472023856598765,2017-08-30T16:31:02.8626920Z
Camera 39,E61,14,50,51.6969429889397,-0.255128822346241,2017-08-30T16:31:02.8666897Z
Camera 41,A67,7,70,51.6705305834359,0.178651195989178,2017-08-30T16:31:02.8666897Z
Camera 35,E75,20,70,51.4130804902811,-0.179536756784336,2017-08-30T16:31:02.8646900Z
Camera 46,L72,20,60,51.7131305584227,-0.412420534749942,2017-08-30T16:31:02.8716910Z
Camera 1,V97,0,30,51.2987386548789,-0.0151569348535957,2017-08-30T16:31:02.7337177Z
Camera 42,S16,20,20,51.2852651665362,-0.535959605472034,2017-08-30T16:31:04.9477258Z
Camera 42,G56,0,20,51.2852651665362,-0.535959605472034,2017-08-30T16:31:06.1667170Z
Camera 44,L24,20,40,51.3542435046906,0.291285509025635,2017-08-30T16:31:05.4487199Z
Camera 21,R70,51,50,51.719368061522,-0.487923626080968,2017-08-30T16:31:06.6677178Z
Camera 14,X64,20,40,51.3315898387475,0.0980881892282903,2017-08-30T16:31:06.8837188Z
Camera 19,B83,0,30,51.2199598143911,0.130932753972192,2017-08-30T16:31:06.8726936Z
Camera 48,Z75,13,20,51.707702178406,-0.406872000734115,2017-08-30T16:31:06.9637237Z
Camera 40,B41,10,60,51.4172124813821,-0.278042005302346,2017-08-30T16:31:06.8837188Z
Camera 34,A38,1,60,51.4544967464661,0.0636478516468955,2017-08-30T16:31:06.9637237Z
Camera 28,Z73,32,60,51.2310339972853,-0.472023856598765,2017-08-30T16:31:07.4487279Z
Camera 33,K73,11,50,51.5100252604243,-0.1004507718998,2017-08-30T16:31:07.4487279Z
Camera 24,G18,10,20,51.5465129639504,-0.1937376746493,2017-08-30T16:31:06.3736883Z
Camera 0,G33,3,20,51.3363706789483,0.228715979043229,2017-08-30T16:31:07.5407180Z
Camera 40,V30,20,60,51.4172124813821,-0.278042005302346,2017-08-30T16:31:07.7606905Z
Camera 29,H71,8,70,51.2337321428303,0.203791193699911,2017-08-30T16:31:07.8756895Z
Camera 45,Z67,0,50,51.4964912206909,0.129299561418881,2017-08-30T16:31:07.8756895Z
Camera 7,Z65,20,30,51.3574101360434,-0.331879212122002,2017-08-30T16:31:07.8756895Z
Camera 27,Z61,13,50,51.7176609518381,0.326906892997577,2017-08-30T16:31:07.9497323Z
Camera 33,S27,8,50,51.5100252604243,-0.1004507718998,2017-08-30T16:31:08.1177171Z
Camera 23,T36,13,70,51.2884340682226,0.0107327492375126,2017-08-30T16:31:08.3757173Z
Camera 9,S58,7,50,51.4243959437404,-0.0286479029013365,2017-08-30T16:31:08.3766897Z
Camera 13,Z56,0,30,51.6993799065426,-0.0751390999869216,2017-08-30T16:31:08.3757173Z
Camera 12,T25,3,20,51.5046424132752,-0.0719003790568679,2017-08-30T16:31:08.3766897Z
Camera 3,J65,34,50,51.6511492193817,0.175783756163873,2017-08-30T16:31:08.3757173Z
Camera 10,M34,0,60,51.3036396021554,-0.333704405472958,2017-08-30T16:31:08.3757173Z
Camera 18,P11,20,20,51.655882654568,-0.543575567909062,2017-08-30T16:31:07.3737170Z
Camera 45,C34,1,50,51.4964912206909,0.129299561418881,2017-08-30T16:31:08.5977213Z
Camera 33,J46,7,50,51.5100252604243,-0.1004507718998,2017-08-30T16:31:08.7297174Z
Camera 1,A58,3,30,51.2987386548789,-0.0151569348535957,2017-08-30T16:31:07.5407180Z
Camera 48,E11,20,20,51.707702178406,-0.406872000734115,2017-08-30T16:31:07.6507204Z
Camera 2,T71,20,40,51.4163621658107,-0.552565269149057,2017-08-30T16:31:08.7987172Z
Camera 46,F47,10,60,51.7131305584227,-0.412420534749942,2017-08-30T16:31:08.9497191Z
Camera 43,N82,26,30,51.2233268041761,-0.427825092307253,2017-08-30T16:31:08.9497191Z
Camera 25,K47,20,30,51.518425959777,-0.400272391277868,2017-08-30T16:31:08.9497191Z
Camera 24,P61,7,20,51.5465129639504,-0.1937376746493,2017-08-30T16:31:08.9936932Z
Camera 38,G66,0,40,51.3485423636571,0.131531654242637,2017-08-30T16:31:08.9497191Z
Camera 11,C55,20,70,51.6479995269784,-0.489912629779328,2017-08-30T16:31:07.8756895Z
Camera 39,R91,20,50,51.6969429889397,-0.255128822346241,2017-08-30T16:31:09.1797221Z
Camera 37,G83,4,30,51.413342024153,-0.00153631866453974,2017-08-30T16:31:09.1797221Z
Camera 13,Z91,20,30,51.6993799065426,-0.0751390999869216,2017-08-30T16:31:09.1077176Z
Camera 17,D28,18,70,51.6968471052884,-0.0339673934974359,2017-08-30T16:31:09.3836899Z
Camera 4,X87,20,60,51.497349752867,0.137551719111167,2017-08-30T16:31:09.3820030Z
Camera 30,K16,53,20,51.2422977904381,-0.275791971104562,2017-08-30T16:31:09.4487178Z
Camera 22,R87,9,60,51.2808709704299,-0.349814077345518,2017-08-30T16:31:09.4487178Z
Camera 26,W21,12,40,51.5939539796656,-0.299903785865331,2017-08-30T16:31:09.3767162Z
Camera 15,C85,27,50,51.3135642742163,0.121649782375957,2017-08-30T16:31:09.3827082Z
Camera 18,Y78,20,20,51.655882654568,-0.543575567909062,2017-08-30T16:31:09.4767203Z
Camera 40,C47,20,60,51.4172124813821,-0.278042005302346,2017-08-30T16:31:09.4627235Z
Camera 5,B20,10,70,51.5724160145348,-0.548802058902255,2017-08-30T16:31:09.5437291Z
Camera 6,D17,12,20,51.6071419506756,-0.189048482556971,2017-08-30T16:31:08.3757173Z
Camera 34,X64,20,60,51.4544967464661,0.0636478516468955,2017-08-30T16:31:09.6376915Z
Camera 31,S35,57,30,51.516913883196,0.174217979682664,2017-08-30T16:31:08.4487265Z
Camera 47,X16,87,70,51.5803371476854,0.23584554070272,2017-08-30T16:31:09.6677268Z
Camera 9,V45,7,50,51.4243959437404,-0.0286479029013365,2017-08-30T16:31:09.6047177Z
Camera 14,E97,20,40,51.3315898387475,0.0980881892282903,2017-08-30T16:31:08.5117162Z
Camera 44,Z78,14,40,51.3542435046906,0.291285509025635,2017-08-30T16:31:09.7537165Z
Camera 8,T91,18,40,51.4364856461993,0.266487556052279,2017-08-30T16:31:10.0237089Z
Camera 32,L58,10,40,51.5128882949506,0.280805414414067,2017-08-30T16:31:08.8756893Z
Camera 5,H14,20,70,51.5724160145348,-0.548802058902255,2017-08-30T16:31:10.2027189Z
Camera 28,K12,62,60,51.2310339972853,-0.472023856598765,2017-08-30T16:31:09.1176998Z
Camera 21,N68,32,50,51.719368061522,-0.487923626080968,2017-08-30T16:31:10.2747356Z
Camera 16,Y18,40,60,51.4338229493116,-0.326779599495918,2017-08-30T16:31:10.3897316Z
Camera 28,H51,40,60,51.2310339972853,-0.472023856598765,2017-08-30T16:31:10.3897316Z
Camera 49,H56,0,30,51.4660728652435,-0.38382768819702,2017-08-30T16:31:10.3897316Z
Camera 20,W22,0,40,51.3172513248692,-0.0620099612516122,2017-08-30T16:31:10.3906906Z
Camera 15,Y85,23,50,51.3135642742163,0.121649782375957,2017-08-30T16:31:10.5136884Z
Camera 36,H15,5,20,51.680859282378,0.0148869331698217,2017-08-30T16:31:09.3767162Z
Camera 8,W24,11,40,51.4364856461993,0.266487556052279,2017-08-30T16:31:09.3827082Z
Camera 41,D68,18,70,51.6705305834359,0.178651195989178,2017-08-30T16:31:10.6057179Z
Camera 41,Y54,3,70,51.6705305834359,0.178651195989178,2017-08-30T16:31:09.4487178Z
Camera 46,A21,16,60,51.7131305584227,-0.412420534749942,2017-08-30T16:31:10.6687180Z
Camera 6,Y34,16,20,51.6071419506756,-0.189048482556971,2017-08-30T16:31:10.6057179Z
Camera 10,T87,5,60,51.3036396021554,-0.333704405472958,2017-08-30T16:31:09.6047177Z
Camera 42,X56,0,20,51.2852651665362,-0.535959605472034,2017-08-30T16:31:10.7746883Z
Camera 44,Y56,11,40,51.3542435046906,0.291285509025635,2017-08-30T16:31:10.9006893Z
Camera 21,L30,9,50,51.719368061522,-0.487923626080968,2017-08-30T16:31:10.9166884Z
Camera 48,E88,8,20,51.707702178406,-0.406872000734115,2017-08-30T16:31:10.9837216Z
Camera 2,V17,10,40,51.4163621658107,-0.552565269149057,2017-08-30T16:31:10.9327235Z
Camera 10,M43,10,60,51.3036396021554,-0.333704405472958,2017-08-30T16:31:09.8146884Z
Camera 20,D18,20,40,51.3172513248692,-0.0620099612516122,2017-08-30T16:31:11.0397180Z
Camera 7,S91,16,30,51.3574101360434,-0.331879212122002,2017-08-30T16:31:11.1017387Z
Camera 36,Z55,6,20,51.680859282378,0.0148869331698217,2017-08-30T16:31:11.1006885Z
Camera 15,X45,59,50,51.3135642742163,0.121649782375957,2017-08-30T16:31:11.1647545Z
Camera 12,Z71,10,20,51.5046424132752,-0.0719003790568679,2017-08-30T16:31:11.1006885Z
Camera 1,L55,20,30,51.2987386548789,-0.0151569348535957,2017-08-30T16:31:11.1017387Z
Camera 35,F44,5,70,51.4130804902811,-0.179536756784336,2017-08-30T16:31:09.9806887Z
Camera 41,J40,2,70,51.6705305834359,0.178651195989178,2017-08-30T16:31:11.2686883Z
Camera 6,L45,20,20,51.6071419506756,-0.189048482556971,2017-08-30T16:31:11.2686883Z
Camera 39,T30,31,50,51.6969429889397,-0.255128822346241,2017-08-30T16:31:11.3996883Z
Camera 13,M61,19,30,51.6993799065426,-0.0751390999869216,2017-08-30T16:31:11.4937174Z
Camera 47,W44,82,70,51.5803371476854,0.23584554070272,2017-08-30T16:31:10.3217561Z
Camera 31,N45,60,30,51.516913883196,0.174217979682664,2017-08-30T16:31:11.6086909Z
Camera 40,W95,0,60,51.4172124813821,-0.278042005302346,2017-08-30T16:31:11.6086909Z
Camera 32,W30,29,40,51.5128882949506,0.280805414414067,2017-08-30T16:31:11.5466903Z
Camera 38,V62,38,40,51.3485423636571,0.131531654242637,2017-08-30T16:31:11.6667234Z
Camera 14,T20,5,40,51.3315898387475,0.0980881892282903,2017-08-30T16:31:11.6837299Z
Camera 32,J46,15,40,51.5128882949506,0.280805414414067,2017-08-30T16:31:11.6497311Z
Camera 1,S98,8,30,51.2987386548789,-0.0151569348535957,2017-08-30T16:31:11.7146954Z
Camera 3,X95,56,50,51.6511492193817,0.175783756163873,2017-08-30T16:31:10.6057179Z
Camera 0,D85,1,20,51.3363706789483,0.228715979043229,2017-08-30T16:31:11.8846883Z
Camera 13,A58,15,30,51.6993799065426,-0.0751390999869216,2017-08-30T16:31:10.7746883Z
Camera 4,R73,3,60,51.497349752867,0.137551719111167,2017-08-30T16:31:12.0236887Z
Camera 48,F28,3,20,51.707702178406,-0.406872000734115,2017-08-30T16:31:10.8556883Z
Camera 47,E95,68,70,51.5803371476854,0.23584554070272,2017-08-30T16:31:12.0416887Z
Camera 23,V55,3,70,51.2884340682226,0.0107327492375126,2017-08-30T16:31:10.9786885Z
Camera 19,E30,11,30,51.2199598143911,0.130932753972192,2017-08-30T16:31:11.1387386Z
Camera 37,C76,18,30,51.413342024153,-0.00153631866453974,2017-08-30T16:31:12.4017170Z
Camera 34,K48,12,60,51.4544967464661,0.0636478516468955,2017-08-30T16:31:12.4347180Z
Camera 5,D78,2,70,51.5724160145348,-0.548802058902255,2017-08-30T16:31:11.3077282Z
Camera 34,L76,7,60,51.4544967464661,0.0636478516468955,2017-08-30T16:31:11.3223313Z
Camera 27,M18,2,50,51.7176609518381,0.326906892997577,2017-08-30T16:31:12.5886888Z
Camera 21,C93,20,50,51.719368061522,-0.487923626080968,2017-08-30T16:31:12.5828232Z
Camera 49,L64,20,30,51.4660728652435,-0.38382768819702,2017-08-30T16:31:12.5397180Z
Camera 25,T95,14,30,51.518425959777,-0.400272391277868,2017-08-30T16:31:12.6726885Z
Camera 36,T21,20,20,51.680859282378,0.0148869331698217,2017-08-30T16:31:12.7036915Z
Camera 49,H62,20,30,51.4660728652435,-0.38382768819702,2017-08-30T16:31:12.6486902Z
Camera 11,G32,18,70,51.6479995269784,-0.489912629779328,2017-08-30T16:31:11.5867177Z
Camera 9,J70,14,50,51.4243959437404,-0.0286479029013365,2017-08-30T16:31:12.8237180Z
Camera 38,J21,76,40,51.3485423636571,0.131531654242637,2017-08-30T16:31:12.7747221Z
Camera 0,W17,12,20,51.3363706789483,0.228715979043229,2017-08-30T16:31:11.7456900Z
Camera 42,M74,20,20,51.2852651665362,-0.535959605472034,2017-08-30T16:31:12.9847178Z
Camera 41,A70,20,70,51.6705305834359,0.178651195989178,2017-08-30T16:31:12.8907173Z
Camera 42,A34,20,20,51.2852651665362,-0.535959605472034,2017-08-30T16:31:13.0857185Z
Camera 47,N76,54,70,51.5803371476854,0.23584554070272,2017-08-30T16:31:13.1676883Z
Camera 20,T48,20,40,51.3172513248692,-0.0620099612516122,2017-08-30T16:31:13.1977415Z
Camera 48,Z94,20,20,51.707702178406,-0.406872000734115,2017-08-30T16:31:13.1977415Z
Camera 7,R47,30,30,51.3574101360434,-0.331879212122002,2017-08-30T16:31:13.2117235Z
Camera 43,S87,10,30,51.2233268041761,-0.427825092307253,2017-08-30T16:31:13.1676883Z
Camera 23,Z84,9,70,51.2884340682226,0.0107327492375126,2017-08-30T16:31:13.1977415Z
Camera 19,F16,20,30,51.2199598143911,0.130932753972192,2017-08-30T16:31:13.2896954Z
Camera 29,F63,15,70,51.2337321428303,0.203791193699911,2017-08-30T16:31:12.0867198Z
Camera 29,B80,11,70,51.2337321428303,0.203791193699911,2017-08-30T16:31:12.2767169Z
Camera 0,Z31,7,20,51.3363706789483,0.228715979043229,2017-08-30T16:31:13.5087340Z
Camera 33,E37,1,50,51.5100252604243,-0.1004507718998,2017-08-30T16:31:13.4316883Z
Camera 35,K70,8,70,51.4130804902811,-0.179536756784336,2017-08-30T16:31:13.6497110Z
Camera 24,V36,13,20,51.5465129639504,-0.1937376746493,2017-08-30T16:31:13.6717180Z
Camera 16,W26,50,60,51.4338229493116,-0.326779599495918,2017-08-30T16:31:12.5397180Z
Camera 3,C80,79,50,51.6511492193817,0.175783756163873,2017-08-30T16:31:13.8696925Z
Camera 45,R85,11,50,51.4964912206909,0.129299561418881,2017-08-30T16:31:12.8076882Z
Camera 39,A55,28,50,51.6969429889397,-0.255128822346241,2017-08-30T16:31:14.0257171Z
Camera 17,P86,6,70,51.6968471052884,-0.0339673934974359,2017-08-30T16:31:14.0257171Z
Camera 22,M80,20,60,51.2808709704299,-0.349814077345518,2017-08-30T16:31:14.0996884Z
Camera 18,C96,20,20,51.655882654568,-0.543575567909062,2017-08-30T16:31:14.0996884Z
Camera 8,E53,20,40,51.4364856461993,0.266487556052279,2017-08-30T16:31:14.1507284Z
Camera 26,Z71,20,40,51.5939539796656,-0.299903785865331,2017-08-30T16:31:13.0137210Z
Camera 30,K91,65,20,51.2422977904381,-0.275791971104562,2017-08-30T16:31:14.0996884Z
Camera 28,D71,45,60,51.2310339972853,-0.472023856598765,2017-08-30T16:31:13.0406898Z
Camera 31,M40,97,30,51.516913883196,0.174217979682664,2017-08-30T16:31:14.2217177Z
Camera 14,A98,19,40,51.3315898387475,0.0980881892282903,2017-08-30T16:31:14.2977209Z
Camera 20,K48,8,40,51.3172513248692,-0.0620099612516122,2017-08-30T16:31:14.3142426Z
Camera 40,E36,10,60,51.4172124813821,-0.278042005302346,2017-08-30T16:31:14.2217177Z
Camera 21,K66,20,50,51.719368061522,-0.487923626080968,2017-08-30T16:31:13.1977415Z
Camera 31,W67,107,30,51.516913883196,0.174217979682664,2017-08-30T16:31:14.3646901Z
Camera 44,K87,7,40,51.3542435046906,0.291285509025635,2017-08-30T16:31:14.5706883Z
Camera 2,L51,20,40,51.4163621658107,-0.552565269149057,2017-08-30T16:31:14.5706883Z
Camera 5,J98,20,70,51.5724160145348,-0.548802058902255,2017-08-30T16:31:13.4777307Z
Camera 18,N68,10,20,51.655882654568,-0.543575567909062,2017-08-30T16:31:14.7766883Z
Camera 6,K71,19,20,51.6071419506756,-0.189048482556971,2017-08-30T16:31:14.8727234Z
Camera 46,G26,12,60,51.7131305584227,-0.412420534749942,2017-08-30T16:31:14.8727234Z
Camera 14,N80,3,40,51.3315898387475,0.0980881892282903,2017-08-30T16:31:14.9047173Z
Camera 12,P82,9,20,51.5046424132752,-0.0719003790568679,2017-08-30T16:31:14.9186918Z
Camera 12,B38,20,20,51.5046424132752,-0.0719003790568679,2017-08-30T16:31:13.7147184Z
Camera 41,A64,20,70,51.6705305834359,0.178651195989178,2017-08-30T16:31:14.8926934Z
Camera 12,L71,20,20,51.5046424132752,-0.0719003790568679,2017-08-30T16:31:13.8196923Z
Camera 34,Z52,13,60,51.4544967464661,0.0636478516468955,2017-08-30T16:31:15.1696921Z
Camera 0,A78,0,20,51.3363706789483,0.228715979043229,2017-08-30T16:31:15.1236885Z
Camera 28,K91,58,60,51.2310339972853,-0.472023856598765,2017-08-30T16:31:15.2366895Z
Camera 34,J66,8,60,51.4544967464661,0.0636478516468955,2017-08-30T16:31:14.0517169Z
Camera 32,M15,12,40,51.5128882949506,0.280805414414067,2017-08-30T16:31:15.2597174Z
Camera 41,H93,30,70,51.6705305834359,0.178651195989178,2017-08-30T16:31:14.2756927Z
Camera 19,P34,20,30,51.2199598143911,0.130932753972192,2017-08-30T16:31:14.4032439Z
Camera 4,J42,20,60,51.497349752867,0.137551719111167,2017-08-30T16:31:15.6767182Z
Camera 2,A23,14,40,51.4163621658107,-0.552565269149057,2017-08-30T16:31:15.6767182Z
Camera 10,G54,20,60,51.3036396021554,-0.333704405472958,2017-08-30T16:31:14.5256882Z
Camera 42,T20,15,20,51.2852651665362,-0.535959605472034,2017-08-30T16:31:15.6897231Z
Camera 20,E53,1,40,51.3172513248692,-0.0620099612516122,2017-08-30T16:31:15.9317229Z
Camera 15,X82,81,50,51.3135642742163,0.121649782375957,2017-08-30T16:31:14.7766883Z
Camera 12,G61,13,20,51.5046424132752,-0.0719003790568679,2017-08-30T16:31:16.0407218Z
Camera 12,F55,0,20,51.5046424132752,-0.0719003790568679,2017-08-30T16:31:16.1516903Z
Camera 13,N76,0,30,51.6993799065426,-0.0751390999869216,2017-08-30T16:31:16.1056897Z
Camera 44,M63,20,40,51.3542435046906,0.291285509025635,2017-08-30T16:31:16.2276883Z
Camera 21,H16,18,50,51.719368061522,-0.487923626080968,2017-08-30T16:31:16.3047232Z
Camera 28,D58,36,60,51.2310339972853,-0.472023856598765,2017-08-30T16:31:15.1397171Z
Camera 4,V54,13,60,51.497349752867,0.137551719111167,2017-08-30T16:31:16.2906883Z
Camera 15,D18,88,50,51.3135642742163,0.121649782375957,2017-08-30T16:31:16.3866891Z
Camera 38,P66,101,40,51.3485423636571,0.131531654242637,2017-08-30T16:31:16.3896896Z
Camera 45,T21,20,50,51.4964912206909,0.129299561418881,2017-08-30T16:31:16.4776931Z
Camera 6,C53,17,20,51.6071419506756,-0.189048482556971,2017-08-30T16:31:16.4776931Z
Camera 47,T26,33,70,51.5803371476854,0.23584554070272,2017-08-30T16:31:15.2916883Z
Camera 37,K40,19,30,51.413342024153,-0.00153631866453974,2017-08-30T16:31:16.5147017Z
Camera 19,Z67,10,30,51.2199598143911,0.130932753972192,2017-08-30T16:31:16.5147017Z
Camera 31,T65,85,30,51.516913883196,0.174217979682664,2017-08-30T16:31:16.4776931Z
Camera 47,B12,51,70,51.5803371476854,0.23584554070272,2017-08-30T16:31:15.3987241Z
Camera 16,C14,92,60,51.4338229493116,-0.326779599495918,2017-08-30T16:31:16.6867173Z
Camera 17,X82,20,70,51.6968471052884,-0.0339673934974359,2017-08-30T16:31:16.6236891Z
Camera 13,P57,3,30,51.6993799065426,-0.0751390999869216,2017-08-30T16:31:16.7137247Z
Camera 49,H75,7,30,51.4660728652435,-0.38382768819702,2017-08-30T16:31:16.7486890Z
Camera 30,B85,65,20,51.2422977904381,-0.275791971104562,2017-08-30T16:31:16.7627310Z
Camera 27,J50,1,50,51.7176609518381,0.326906892997577,2017-08-30T16:31:16.7137247Z
Camera 34,V61,13,60,51.4544967464661,0.0636478516468955,2017-08-30T16:31:16.7736912Z
Camera 29,V40,18,70,51.2337321428303,0.203791193699911,2017-08-30T16:31:16.8877263Z
Camera 3,E13,117,50,51.6511492193817,0.175783756163873,2017-08-30T16:31:16.9767239Z
Camera 1,H53,7,30,51.2987386548789,-0.0151569348535957,2017-08-30T16:31:15.8206883Z
Camera 5,Y24,12,70,51.5724160145348,-0.548802058902255,2017-08-30T16:31:17.0877239Z
Camera 41,V84,24,70,51.6705305834359,0.178651195989178,2017-08-30T16:31:17.0087249Z
Camera 45,B43,2,50,51.4964912206909,0.129299561418881,2017-08-30T16:31:17.0877239Z
Camera 45,E52,20,50,51.4964912206909,0.129299561418881,2017-08-30T16:31:17.1907192Z
Camera 22,V42,19,60,51.2808709704299,-0.349814077345518,2017-08-30T16:31:17.2616883Z
Camera 24,A96,20,20,51.5465129639504,-0.1937376746493,2017-08-30T16:31:17.2836921Z
Camera 48,R16,12,20,51.707702178406,-0.406872000734115,2017-08-30T16:31:17.3047234Z
Camera 7,X96,41,30,51.3574101360434,-0.331879212122002,2017-08-30T16:31:17.3216919Z
Camera 42,A76,13,20,51.2852651665362,-0.535959605472034,2017-08-30T16:31:17.2836921Z
Camera 36,J85,0,20,51.680859282378,0.0148869331698217,2017-08-30T16:31:17.3216919Z
Camera 11,B78,61,70,51.6479995269784,-0.489912629779328,2017-08-30T16:31:16.2906883Z
Camera 32,J85,28,40,51.5128882949506,0.280805414414067,2017-08-30T16:31:16.3866891Z
Camera 26,C74,1,40,51.5939539796656,-0.299903785865331,2017-08-30T16:31:17.6256883Z
Camera 9,H78,20,50,51.4243959437404,-0.0286479029013365,2017-08-30T16:31:16.4336893Z
Camera 14,H68,21,40,51.3315898387475,0.0980881892282903,2017-08-30T16:31:16.5147017Z
Camera 43,G71,15,30,51.2233268041761,-0.427825092307253,2017-08-30T16:31:17.7747308Z
Camera 0,R64,20,20,51.3363706789483,0.228715979043229,2017-08-30T16:31:16.7367244Z
Camera 30,H76,52,20,51.2422977904381,-0.275791971104562,2017-08-30T16:31:17.8747237Z
Camera 24,M86,12,20,51.5465129639504,-0.1937376746493,2017-08-30T16:31:17.9166915Z
Camera 23,J40,15,70,51.2884340682226,0.0107327492375126,2017-08-30T16:31:16.8216907Z
Camera 33,B54,20,50,51.5100252604243,-0.1004507718998,2017-08-30T16:31:18.0497219Z
Camera 44,V85,2,40,51.3542435046906,0.291285509025635,2017-08-30T16:31:16.8416905Z
Camera 39,Z18,30,50,51.6969429889397,-0.255128822346241,2017-08-30T16:31:18.1417346Z
Camera 6,H70,15,20,51.6071419506756,-0.189048482556971,2017-08-30T16:31:18.0867172Z
Camera 26,V87,0,40,51.5939539796656,-0.299903785865331,2017-08-30T16:31:18.2317231Z
Camera 3,A22,106,50,51.6511492193817,0.175783756163873,2017-08-30T16:31:17.0797375Z
Camera 16,P82,62,60,51.4338229493116,-0.326779599495918,2017-08-30T16:31:18.2926895Z
