Ticker,ClosingPrice,OpeningPrice,PriceChange,PercentChange,HourOfLastTrade,Suspicious
XCCN,14,14,0,0,9,NO
R4NX,30,30,0,0,12,NO
XIHC,71,71,0,0,12,NO
UBJP,59,59,0,0,12,NO
BRC2,18,18,0,0,12,NO
UZBV,4,4,0,0,16,NO
3I10,55,55,0,0,15,NO
BRC2,21,18,-3,16.66666667,14,NO
FFSE,56,56,0,0,10,NO
0U0B,54,54,0,0,14,NO
0AAH,52,49,-3,6.12244898,10,NO
L3AP,46,46,0,0,15,NO
3PMW,73,73,0,0,12,NO
FFAU,7,7,0,0,9,NO
VZXG,3,3,0,0,17,NO
JM3Q,85,85,0,0,14,NO
AHDH,7,7,0,0,17,NO
AO1H,8,8,0,0,15,NO
XMSH,65,65,0,0,16,NO
3IP1,5,5,0,0,9,NO
L3AP,50,46,-4,8.695652174,12,NO
UXWV,74,74,0,0,11,NO
NRRO,61,61,0,0,10,NO
M5BI,14,14,0,0,11,NO
UUYC,11,11,0,0,10,NO
Y0LZ,22,22,0,0,10,NO
WK0Z,41,42,1,-2.380952381,11,NO
DBLL,97,98,1,-1.020408163,15,NO
QXY5,27,27,0,0,16,NO
5LCH,92,92,0,0,16,NO
C42A,96,96,0,0,16,NO
OKIB,59,59,0,0,10,NO
3G3Y,2,0,-2,Infinity,11,NO
AXTV,6,6,0,0,17,NO
XCCN,10,14,4,-28.57142857,13,NO
Y0LZ,25,22,-3,13.63636364,10,NO
V20F,53,53,0,0,14,NO
UNU4,18,18,0,0,12,NO
BW5P,54,59,5,-8.474576271,12,NO
SKGG,35,34,-1,2.941176471,13,NO
BF0G,67,70,3,-4.285714286,11,NO
UBJP,62,59,-3,5.084745763,10,NO
VLDE,0,0,0,NaN,15,NO
ZUZ3,55,55,0,0,10,NO
JWUI,3,3,0,0,16,NO
0F2E,93,93,0,0,17,NO
KV5X,35,39,4,-10.25641026,16,NO
J1IP,70,68,-2,2.941176471,11,NO
B5YG,2,0,-2,Infinity,10,NO
5LCH,87,92,5,-5.434782609,16,NO
SUR1,31,27,-4,14.81481481,10,NO
JQTM,59,60,1,-1.666666667,13,NO
MFHL,91,91,0,0,14,NO
0U0B,53,54,1,-1.851851852,16,NO
DQTM,51,50,-1,2,11,NO
J1IP,68,68,0,0,16,NO
HXA2,9,11,2,-18.18181818,16,NO
JEKQ,0,0,0,NaN,10,NO
L3AP,49,46,-3,6.52173913,14,NO
BEHY,101,98,-3,3.06122449,14,NO
VLDE,0,0,0,NaN,10,NO
LOL4,46,47,1,-2.127659574,9,NO
G3XP,47,52,5,-9.615384615,15,NO
1ZNS,25,24,-1,4.166666667,16,NO
5LCH,85,92,7,-7.608695652,10,NO
21FQ,39,42,3,-7.142857143,11,NO
ZUZ3,55,55,0,0,10,NO
OHBR,74,77,3,-3.896103896,9,NO
AXTV,10,6,-4,66.66666667,9,NO
DBZG,13,14,1,-7.142857143,12,NO
BF0G,65,70,5,-7.142857143,13,NO
OHBR,73,77,4,-5.194805195,17,NO
B5YG,0,0,0,NaN,11,NO
K2KI,8,12,4,-33.33333333,12,NO
HIRY,22,19,-3,15.78947368,11,NO
2T0Y,11,11,0,0,14,NO
BRC2,15,18,3,-16.66666667,12,NO
2TRU,104,101,-3,2.97029703,11,NO
1ZNS,21,24,3,-12.5,14,NO
FFAU,4,7,3,-42.85714286,17,NO
ANNV,88,93,5,-5.376344086,11,NO
DBLL,101,98,-3,3.06122449,11,NO
UXWV,70,74,4,-5.405405405,11,NO
NRRO,61,61,0,0,10,NO
3HLN,16,15,-1,6.666666667,9,NO
XMSH,64,65,1,-1.538461538,14,NO
UZBV,1,4,3,-75,10,NO
3PMW,72,73,1,-1.369863014,13,NO
5LCH,88,92,4,-4.347826087,13,NO
BW5P,52,59,7,-11.86440678,16,NO
ALNY,88,91,3,-3.296703297,16,NO
1ROG,82,80,-2,2.5,9,NO
UYP5,4,2,-2,100,15,NO
V20F,49,53,4,-7.547169811,9,NO
21FQ,34,42,8,-19.04761905,13,YES
3I10,53,55,2,-3.636363636,13,NO
B5YG,3,0,-3,Infinity,12,NO
WSZR,31,27,-4,14.81481481,13,NO
XIQY,71,67,-4,5.970149254,15,NO
1ZNS,18,24,6,-25,14,NO
NRRO,61,61,0,0,17,NO
2TRU,102,101,-1,0.99009901,11,NO
AO1H,8,8,0,0,14,NO
YCRV,69,70,1,-1.428571429,14,NO
EE0S,70,72,2,-2.777777778,12,NO
Q3DH,94,92,-2,2.173913043,9,NO
0U0B,50,54,4,-7.407407407,11,NO
M5BI,16,14,-2,14.28571429,10,NO
DBWM,13,14,1,-7.142857143,9,NO
KV5X,34,39,5,-12.82051282,9,NO
L3AP,46,46,0,0,15,NO
CIAW,89,92,3,-3.260869565,9,NO
VZXG,0,3,3,-100,12,NO
KV5X,34,39,5,-12.82051282,10,NO
OKIB,59,59,0,0,12,NO
3I10,52,55,3,-5.454545455,9,NO
Y0LZ,20,22,2,-9.090909091,15,NO
UH1P,57,58,1,-1.724137931,16,NO
DH5J,28,24,-4,16.66666667,14,NO
WTKH,95,99,4,-4.04040404,14,NO
K2KI,5,12,7,-58.33333333,15,NO
3I10,54,55,1,-1.818181818,13,NO
3I10,54,55,1,-1.818181818,12,NO
XUDH,9,14,5,-35.71428571,15,NO
JM3Q,83,85,2,-2.352941176,16,NO
JEKQ,4,0,-4,Infinity,15,NO
GZUU,49,45,-4,8.888888889,17,NO
W1A3,66,70,4,-5.714285714,10,NO
ALNY,87,91,4,-4.395604396,12,NO
FFSE,56,56,0,0,11,NO
XCCN,5,14,9,-64.28571429,14,NO
XIQY,74,67,-7,10.44776119,13,NO
5T3E,33,34,1,-2.941176471,13,NO
K2KI,7,12,5,-41.66666667,14,NO
3G3Y,8,0,-8,Infinity,9,NO
11H1,89,94,5,-5.319148936,13,NO
0F2E,95,93,-2,2.150537634,16,NO
3G3Y,4,0,-4,Infinity,15,NO
AHDH,11,7,-4,57.14285714,16,NO
3IP1,3,5,2,-40,12,NO
4U0Z,47,51,4,-7.843137255,13,NO
EE0S,72,72,0,0,9,NO
3G3Y,7,0,-7,Infinity,11,NO
JWUI,0,3,3,-100,12,NO
21Y5,8,4,-4,100,16,NO
WK0Z,40,42,2,-4.761904762,15,NO
LZCW,94,92,-2,2.173913043,9,NO
C42A,92,96,4,-4.166666667,15,NO
XIQY,76,67,-9,13.43283582,15,NO
S0PH,10,9,-1,11.11111111,11,NO
H3XQ,44,48,4,-8.333333333,11,NO
WSZR,29,27,-2,7.407407407,11,NO
AXTV,7,6,-1,16.66666667,14,NO
FFSE,55,56,1,-1.785714286,16,NO
11H1,87,94,7,-7.446808511,12,NO
XCCN,5,14,9,-64.28571429,12,NO
GARC,48,46,-2,4.347826087,13,NO
CU14,28,26,-2,7.692307692,10,NO
VZXG,0,3,3,-100,9,NO
1PZ2,29,25,-4,16,9,NO
XIHC,70,71,1,-1.408450704,12,NO
DBWM,14,14,0,0,15,NO
HKPE,1,0,-1,Infinity,9,NO
XCCN,9,14,5,-35.71428571,10,NO
MFHL,86,91,5,-5.494505495,17,NO
J1IP,65,68,3,-4.411764706,11,NO
UUYC,9,11,2,-18.18181818,9,NO
SUR1,35,27,-8,29.62962963,13,NO
FFAU,7,7,0,0,15,NO
1PZ2,28,25,-3,12,16,NO
VSJV,87,84,-3,3.571428571,12,NO
LOL4,41,47,6,-12.76595745,15,YES
GHRC,81,82,1,-1.219512195,11,NO
1ZNS,20,24,4,-16.66666667,16,NO
XX45,0,4,4,-100,14,NO
YVGA,68,73,5,-6.849315068,12,NO
SWDN,11,7,-4,57.14285714,15,NO
YCRV,68,70,2,-2.857142857,17,NO
BF0G,60,70,10,-14.28571429,12,NO
1ROG,80,80,0,0,10,NO
G3XP,45,52,7,-13.46153846,10,NO
0AAH,52,49,-3,6.12244898,15,NO
UZBV,5,4,-1,25,13,NO
GARC,47,46,-1,2.173913043,11,NO
FX4F,51,56,5,-8.928571429,11,NO
1ROG,85,80,-5,6.25,16,NO
GZUU,46,45,-1,2.222222222,15,NO
21FQ,29,42,13,-30.95238095,16,NO
5LCH,85,92,7,-7.608695652,14,NO
ZUZ3,51,55,4,-7.272727273,11,NO
NRRO,65,61,-4,6.557377049,11,NO
UNU4,13,18,5,-27.77777778,17,NO
REZR,72,69,-3,4.347826087,14,NO
LJU5,10,11,1,-9.090909091,16,NO
J1IP,63,68,5,-7.352941176,13,NO
R4NX,29,30,1,-3.333333333,10,NO
XMSH,68,65,-3,4.615384615,14,NO
DBZG,12,14,2,-14.28571429,12,NO
3G3Y,6,0,-6,Infinity,16,NO
21FQ,27,42,15,-35.71428571,9,NO
GHRC,84,82,-2,2.43902439,16,NO
CIAW,87,92,5,-5.434782609,11,NO
UZBV,7,4,-3,75,10,NO
DBLL,99,98,-1,1.020408163,12,NO
K2KI,9,12,3,-25,12,NO
KV5X,30,39,9,-23.07692308,15,NO
UBJP,54,59,5,-8.474576271,11,NO
BF0G,58,70,12,-17.14285714,10,NO
VLDE,0,0,0,NaN,13,NO
QXY5,24,27,3,-11.11111111,16,NO
DQTM,47,50,3,-6,15,NO
Y0LZ,15,22,7,-31.81818182,13,NO
UBJP,58,59,1,-1.694915254,16,NO
VSJV,88,84,-4,4.761904762,10,NO
GSWR,5,10,5,-50,17,NO
3HLN,17,15,-2,13.33333333,12,NO
21FQ,27,42,15,-35.71428571,15,NO
JM3Q,85,85,0,0,14,NO
W1A3,68,70,2,-2.857142857,17,NO
UYP5,3,2,-1,50,10,NO
0KO1,13,11,-2,18.18181818,15,NO
YVGA,65,73,8,-10.95890411,13,NO
L3AP,42,46,4,-8.695652174,17,NO
AXTV,6,6,0,0,9,NO
HXA2,11,11,0,0,10,NO
DH5J,26,24,-2,8.333333333,15,NO
AO1H,6,8,2,-25,12,NO
YCRV,66,70,4,-5.714285714,9,NO
VZXG,0,3,3,-100,13,NO
JQTM,56,60,4,-6.666666667,17,NO
BW5P,48,59,11,-18.6440678,13,NO
BEHY,101,98,-3,3.06122449,12,NO
2TRU,101,101,0,0,12,NO
LZCW,89,92,3,-3.260869565,16,NO
0KO1,14,11,-3,27.27272727,10,NO
V20F,45,53,8,-15.09433962,11,NO
UH1P,55,58,3,-5.172413793,13,NO
DBLL,102,98,-4,4.081632653,15,NO
GSWR,6,10,4,-40,13,NO
HIRY,26,19,-7,36.84210526,10,NO
3PMW,74,73,-1,1.369863014,13,NO
BF0G,56,70,14,-20,17,NO
SKGG,33,34,1,-2.941176471,14,NO
Q3DH,89,92,3,-3.260869565,13,NO
B5YG,0,0,0,NaN,9,NO
YVGA,69,73,4,-5.479452055,15,NO
0KO1,12,11,-1,9.090909091,12,NO
R4NX,27,30,3,-10,9,NO
GARC,48,46,-2,4.347826087,10,NO
ALNY,83,91,8,-8.791208791,10,NO
G3XP,41,52,11,-21.15384615,16,NO
3IP1,6,5,-1,20,9,NO
1PZ2,28,25,-3,12,11,NO
JQTM,54,60,6,-10,15,NO
HXA2,8,11,3,-27.27272727,13,NO
WTKH,95,99,4,-4.04040404,9,NO
BRC2,11,18,7,-38.88888889,10,NO
ANNV,83,93,10,-10.75268817,16,NO
VLDE,0,0,0,NaN,17,NO
WK0Z,41,42,1,-2.380952381,15,NO
21Y5,3,4,1,-25,17,NO
ANNV,84,93,9,-9.677419355,12,NO
0AAH,47,49,2,-4.081632653,9,NO
VSJV,86,84,-2,2.380952381,12,NO
JEKQ,0,0,0,NaN,14,NO
2T0Y,8,11,3,-27.27272727,13,NO
0AAH,45,49,4,-8.163265306,14,NO
OHBR,69,77,8,-10.38961039,13,NO
WSZR,33,27,-6,22.22222222,14,NO
Y0LZ,13,22,9,-40.90909091,11,NO
XX45,0,4,4,-100,15,NO
OHBR,72,77,5,-6.493506494,14,NO
3HLN,15,15,0,0,16,NO
UBJP,57,59,2,-3.389830508,14,NO
WTKH,94,99,5,-5.050505051,13,NO
3PMW,74,73,-1,1.369863014,13,NO
C42A,94,96,2,-2.083333333,13,NO
1ROG,80,80,0,0,9,NO
JEKQ,2,0,-2,Infinity,9,NO
YCRV,70,70,0,0,10,NO
JEKQ,0,0,0,NaN,14,NO
HKPE,0,0,0,NaN,17,NO
OKIB,57,59,2,-3.389830508,13,NO
M5BI,15,14,-1,7.142857143,17,NO
3I10,55,55,0,0,10,NO
1ZNS,19,24,5,-20.83333333,9,NO
CU14,24,26,2,-7.692307692,9,NO
AO1H,4,8,4,-50,17,NO
UXWV,69,74,5,-6.756756757,11,NO
21Y5,3,4,1,-25,13,NO
0F2E,90,93,3,-3.225806452,12,NO
OKIB,52,59,7,-11.86440678,12,NO
MFHL,82,91,9,-9.89010989,10,NO
DBWM,16,14,-2,14.28571429,9,NO
FFSE,54,56,2,-3.571428571,11,NO
0KO1,15,11,-4,36.36363636,14,NO
JWUI,1,3,2,-66.66666667,10,NO
YVGA,72,73,1,-1.369863014,9,NO
SUR1,34,27,-7,25.92592593,17,NO
AO1H,8,8,0,0,17,NO
UBJP,57,59,2,-3.389830508,17,NO
R4NX,23,30,7,-23.33333333,15,NO
JM3Q,87,85,-2,2.352941176,13,NO
DQTM,47,50,3,-6,15,NO
5LCH,83,92,9,-9.782608696,15,NO
W1A3,65,70,5,-7.142857143,11,NO
FFAU,4,7,3,-42.85714286,15,NO
XCCN,11,14,3,-21.42857143,11,NO
11H1,85,94,9,-9.574468085,9,NO
0U0B,46,54,8,-14.81481481,15,NO
5T3E,31,34,3,-8.823529412,14,NO
BW5P,45,59,14,-23.72881356,15,NO
1ZNS,16,24,8,-33.33333333,13,NO
5T3E,32,34,2,-5.882352941,10,NO
UUYC,7,11,4,-36.36363636,14,NO
DBWM,16,14,-2,14.28571429,17,NO
XUDH,8,14,6,-42.85714286,9,NO
UUYC,11,11,0,0,14,NO
LOL4,45,47,2,-4.255319149,11,NO
ANNV,80,93,13,-13.97849462,11,NO
3PMW,72,73,1,-1.369863014,13,NO
BW5P,44,59,15,-25.42372881,10,NO
4U0Z,48,51,3,-5.882352941,14,NO
S0PH,6,9,3,-33.33333333,15,NO
AHDH,6,7,1,-14.28571429,12,NO
SUR1,33,27,-6,22.22222222,14,NO
GZUU,43,45,2,-4.444444444,15,NO
AHDH,4,7,3,-42.85714286,17,NO
SKGG,37,34,-3,8.823529412,14,YES
DBWM,17,14,-3,21.42857143,13,NO
LJU5,5,11,6,-54.54545455,9,NO
WTKH,92,99,7,-7.070707071,16,NO
WK0Z,42,42,0,0,11,NO
XIHC,73,71,-2,2.816901408,12,NO
HKPE,0,0,0,NaN,9,NO
DBLL,104,98,-6,6.12244898,15,NO
EE0S,75,72,-3,4.166666667,14,NO
H3XQ,46,48,2,-4.166666667,10,NO
L3AP,40,46,6,-13.04347826,9,NO
DH5J,27,24,-3,12.5,17,NO
SWDN,7,7,0,0,11,NO
SKGG,37,34,-3,8.823529412,13,NO
1ROG,80,80,0,0,10,NO
XIQY,78,67,-11,16.41791045,10,NO
DH5J,24,24,0,0,16,NO
OHBR,75,77,2,-2.597402597,16,NO
ZUZ3,53,55,2,-3.636363636,15,NO
SKGG,35,34,-1,2.941176471,11,NO
AXTV,10,6,-4,66.66666667,12,NO
VSJV,89,84,-5,5.952380952,17,NO
SUR1,37,27,-10,37.03703704,17,YES
QXY5,26,27,1,-3.703703704,14,NO
4U0Z,44,51,7,-13.7254902,9,NO
Q3DH,85,92,7,-7.608695652,10,NO
UZBV,4,4,0,0,14,NO
XCCN,10,14,4,-28.57142857,12,NO
CU14,25,26,1,-3.846153846,16,NO
YVGA,72,73,1,-1.369863014,14,NO
21FQ,27,42,15,-35.71428571,9,NO
0KO1,13,11,-2,18.18181818,11,NO
3IP1,4,5,1,-20,13,NO
DQTM,48,50,2,-4,11,NO
KV5X,25,39,14,-35.8974359,12,NO
5T3E,28,34,6,-17.64705882,14,NO
3G3Y,10,0,-10,Infinity,12,NO
DH5J,28,24,-4,16.66666667,10,NO
SWDN,9,7,-2,28.57142857,14,NO
EE0S,77,72,-5,6.944444444,14,NO
1PZ2,24,25,1,-4,17,NO
ALNY,85,91,6,-6.593406593,12,NO
XMSH,70,65,-5,7.692307692,16,NO
NRRO,60,61,1,-1.639344262,12,NO
K2KI,4,12,8,-66.66666667,13,NO
REZR,72,69,-3,4.347826087,15,NO
XX45,1,4,3,-75,14,NO
FX4F,54,56,2,-3.571428571,14,NO
21FQ,31,42,11,-26.19047619,11,NO
AXTV,9,6,-3,50,12,NO
GHRC,77,82,5,-6.097560976,16,NO
YVGA,76,73,-3,4.109589041,10,NO
AHDH,0,7,7,-100,17,NO
J1IP,63,68,5,-7.352941176,13,NO
GARC,44,46,2,-4.347826087,14,NO
JQTM,52,60,8,-13.33333333,14,NO
5T3E,29,34,5,-14.70588235,10,NO
1ROG,83,80,-3,3.75,12,NO
JWUI,0,3,3,-100,12,NO
MFHL,79,91,12,-13.18681319,16,NO
Q3DH,86,92,6,-6.52173913,9,NO
UBJP,54,59,5,-8.474576271,13,NO
CIAW,83,92,9,-9.782608696,15,NO
BF0G,51,70,19,-27.14285714,11,NO
KV5X,27,39,12,-30.76923077,11,NO
1ROG,78,80,2,-2.5,17,NO
XMSH,72,65,-7,10.76923077,17,NO
FFSE,52,56,4,-7.142857143,10,NO
DBZG,9,14,5,-35.71428571,13,NO
K2KI,0,12,12,-100,9,NO
WTKH,92,99,7,-7.070707071,13,NO
UNU4,11,18,7,-38.88888889,9,NO
BRC2,15,18,3,-16.66666667,16,NO
HIRY,26,19,-7,36.84210526,16,NO
W1A3,66,70,4,-5.714285714,14,NO
0KO1,10,11,1,-9.090909091,9,NO
WSZR,35,27,-8,29.62962963,13,NO
5LCH,80,92,12,-13.04347826,10,NO
SKGG,38,34,-4,11.76470588,11,NO
UH1P,55,58,3,-5.172413793,16,NO
FFAU,8,7,-1,14.28571429,12,NO
VZXG,0,3,3,-100,11,NO
WSZR,38,27,-11,40.74074074,17,NO
HXA2,12,11,-1,9.090909091,17,NO
HKPE,0,0,0,NaN,10,NO
YVGA,73,73,0,0,10,NO
GSWR,9,10,1,-10,17,NO
V20F,40,53,13,-24.52830189,13,YES
HKPE,3,0,-3,Infinity,17,NO
3G3Y,9,0,-9,Infinity,11,NO
M5BI,19,14,-5,35.71428571,16,NO
ALNY,82,91,9,-9.89010989,13,NO
0U0B,41,54,13,-24.07407407,12,YES
2TRU,98,101,3,-2.97029703,9,NO
HKPE,4,0,-4,Infinity,15,NO
Y0LZ,12,22,10,-45.45454545,15,NO
UXWV,64,74,10,-13.51351351,11,NO
WTKH,89,99,10,-10.1010101,9,NO
L3AP,44,46,2,-4.347826087,12,NO
BEHY,105,98,-7,7.142857143,12,NO
ZUZ3,50,55,5,-9.090909091,15,NO
UYP5,1,2,1,-50,10,NO
C42A,96,96,0,0,14,NO
VSJV,84,84,0,0,14,NO
1ZNS,11,24,13,-54.16666667,17,NO
ZUZ3,50,55,5,-9.090909091,12,NO
LJU5,9,11,2,-18.18181818,16,NO
LZCW,86,92,6,-6.52173913,9,NO
0F2E,85,93,8,-8.602150538,11,NO
VZXG,3,3,0,0,15,NO
S0PH,7,9,2,-22.22222222,13,NO
C42A,92,96,4,-4.166666667,17,NO
3I10,59,55,-4,7.272727273,14,NO
GARC,43,46,3,-6.52173913,17,NO
0AAH,47,49,2,-4.081632653,15,NO
KV5X,27,39,12,-30.76923077,13,NO
VLDE,4,0,-4,Infinity,12,NO
BRC2,10,18,8,-44.44444444,16,NO
FFSE,47,56,9,-16.07142857,13,NO
DQTM,44,50,6,-12,10,NO
2T0Y,11,11,0,0,16,NO
11H1,85,94,9,-9.574468085,16,NO
XUDH,7,14,7,-50,13,NO
VZXG,0,3,3,-100,14,NO
XMSH,75,65,-10,15.38461538,10,NO
B5YG,0,0,0,NaN,11,NO
EE0S,75,72,-3,4.166666667,14,NO
1ZNS,6,24,18,-75,16,NO
DBLL,99,98,-1,1.020408163,13,NO
G3XP,36,52,16,-30.76923077,14,YES
L3AP,39,46,7,-15.2173913,9,YES
REZR,70,69,-1,1.449275362,9,NO
YCRV,66,70,4,-5.714285714,13,NO
ANNV,84,93,9,-9.677419355,12,NO
UUYC,11,11,0,0,12,NO
21Y5,0,4,4,-100,10,NO
H3XQ,45,48,3,-6.25,12,NO
GSWR,9,10,1,-10,14,NO
3HLN,15,15,0,0,11,NO
JM3Q,91,85,-6,7.058823529,9,NO
GZUU,39,45,6,-13.33333333,11,NO
J1IP,59,68,9,-13.23529412,15,NO
BW5P,47,59,12,-20.33898305,10,NO
UH1P,59,58,-1,1.724137931,16,NO
AHDH,0,7,7,-100,9,NO
G3XP,39,52,13,-25,10,NO
AO1H,0,8,8,-100,13,NO
3I10,54,55,1,-1.818181818,10,NO
AHDH,0,7,7,-100,10,NO
5T3E,31,34,3,-8.823529412,17,NO
3I10,57,55,-2,3.636363636,13,NO
LZCW,90,92,2,-2.173913043,16,NO
WSZR,39,27,-12,44.44444444,12,NO
DBWM,13,14,1,-7.142857143,17,NO
JWUI,0,3,3,-100,12,NO
V20F,41,53,12,-22.64150943,12,NO
R4NX,26,30,4,-13.33333333,15,NO
GSWR,4,10,6,-60,9,NO
OKIB,55,59,4,-6.779661017,14,NO
XX45,1,4,3,-75,9,NO
LOL4,47,47,0,0,16,NO
J1IP,62,68,6,-8.823529412,11,NO
3PMW,72,73,1,-1.369863014,9,NO
FX4F,55,56,1,-1.785714286,16,NO
UZBV,0,4,4,-100,10,NO
5LCH,78,92,14,-15.2173913,14,NO
WK0Z,43,42,-1,2.380952381,17,NO
VZXG,0,3,3,-100,16,NO
JEKQ,0,0,0,NaN,10,NO
5LCH,81,92,11,-11.95652174,9,NO
4U0Z,44,51,7,-13.7254902,12,NO
ZUZ3,49,55,6,-10.90909091,16,NO
JQTM,49,60,11,-18.33333333,15,NO
SUR1,40,27,-13,48.14814815,14,NO
KV5X,30,39,9,-23.07692308,10,NO
QXY5,26,27,1,-3.703703704,13,NO
0F2E,88,93,5,-5.376344086,17,NO
3G3Y,7,0,-7,Infinity,9,NO
SKGG,34,34,0,0,14,YES
DH5J,30,24,-6,25,11,NO
1PZ2,19,25,6,-24,9,NO
CU14,26,26,0,0,13,NO
Y0LZ,11,22,11,-50,14,NO
HXA2,10,11,1,-9.090909091,9,NO
OHBR,70,77,7,-9.090909091,13,NO
UXWV,63,74,11,-14.86486486,12,NO
W1A3,64,70,6,-8.571428571,11,NO
3IP1,2,5,3,-60,13,NO
UNU4,7,18,11,-61.11111111,17,NO
V20F,35,53,18,-33.96226415,10,YES
G3XP,34,52,18,-34.61538462,15,YES
AHDH,0,7,7,-100,15,NO
XIHC,72,71,-1,1.408450704,9,NO
0AAH,49,49,0,0,15,NO
JM3Q,90,85,-5,5.882352941,16,NO
V20F,40,53,13,-24.52830189,17,NO
K2KI,0,12,12,-100,17,NO
MFHL,79,91,12,-13.18681319,9,NO
EE0S,71,72,1,-1.388888889,9,NO
LJU5,8,11,3,-27.27272727,11,NO
XIQY,81,67,-14,20.89552239,16,NO
AXTV,7,6,-1,16.66666667,15,NO
XIQY,79,67,-12,17.91044776,10,NO
BRC2,12,18,6,-33.33333333,13,NO
2TRU,101,101,0,0,10,NO
XMSH,78,65,-13,20,13,NO
JEKQ,3,0,-3,Infinity,11,NO
XX45,1,4,3,-75,9,NO
3I10,61,55,-6,10.90909091,12,NO
DBLL,102,98,-4,4.081632653,15,NO
GHRC,75,82,7,-8.536585366,14,NO
LJU5,3,11,8,-72.72727273,14,NO
0U0B,42,54,12,-22.22222222,12,NO
GARC,44,46,2,-4.347826087,13,NO
VSJV,85,84,-1,1.19047619,10,NO
OKIB,59,59,0,0,13,NO
ANNV,80,93,13,-13.97849462,13,NO
21FQ,34,42,8,-19.04761905,14,NO
WTKH,93,99,6,-6.060606061,12,NO
UBJP,50,59,9,-15.25423729,13,NO
DBWM,11,14,3,-21.42857143,16,NO
XCCN,13,14,1,-7.142857143,15,NO
FX4F,56,56,0,0,14,NO
3IP1,4,5,1,-20,16,NO
W1A3,63,70,7,-10,13,NO
GZUU,42,45,3,-6.666666667,10,NO
CU14,26,26,0,0,17,NO
V20F,33,53,20,-37.73584906,14,YES
3G3Y,3,0,-3,Infinity,9,NO
3IP1,5,5,0,0,14,NO
SWDN,6,7,1,-14.28571429,17,NO
HIRY,30,19,-11,57.89473684,10,NO
3IP1,4,5,1,-20,9,NO
SWDN,8,7,-1,14.28571429,10,NO
CIAW,81,92,11,-11.95652174,16,NO
3G3Y,6,0,-6,Infinity,11,NO
M5BI,20,14,-6,42.85714286,9,NO
HKPE,0,0,0,NaN,9,NO
DQTM,39,50,11,-22,11,YES
1ROG,76,80,4,-5,10,NO
REZR,73,69,-4,5.797101449,15,NO
ALNY,84,91,7,-7.692307692,17,NO
UUYC,13,11,-2,18.18181818,13,NO
XUDH,9,14,5,-35.71428571,12,NO
BF0G,55,70,15,-21.42857143,11,NO
OKIB,54,59,5,-8.474576271,11,NO
VZXG,0,3,3,-100,13,NO
HKPE,0,0,0,NaN,16,NO
21Y5,0,4,4,-100,11,NO
NRRO,62,61,-1,1.639344262,13,NO
0KO1,9,11,2,-18.18181818,10,NO
3HLN,11,15,4,-26.66666667,9,NO
H3XQ,40,48,8,-16.66666667,9,YES
